"","pamr$sd"
"ENSG00000033800.14",11.4685127100407
"ENSG00000033867.16",15.3443885299336
"ENSG00000034053.14",16.3930073456063
"ENSG00000034152.19",36.2843492120213
"ENSG00000034239.11",14.402906013933
"ENSG00000034510.6",5011.12011393495
"ENSG00000034533.12",10.731368484012
"ENSG00000034677.13",47.8056461748073
"ENSG00000034693.15",12.9458322089997
"ENSG00000034713.8",38.6589795885416
"ENSG00000034971.17",12.0373821853668
"ENSG00000035115.22",16.0213039740078
"ENSG00000035141.8",29.6184841849828
"ENSG00000035403.18",38.7700465315268
"ENSG00000035499.13",14.8129153470606
"ENSG00000035664.11",11.0486645618881
"ENSG00000035681.9",15.3409987538363
"ENSG00000035687.10",35.2812057787761
"ENSG00000035720.8",12.0984659546328
"ENSG00000035862.12",109.419149017969
"ENSG00000035928.16",20.5344053504642
"ENSG00000036054.13",19.3828372000889
"ENSG00000036257.13",12.9877301424313
"ENSG00000036448.10",9.06654878351741
"ENSG00000036473.8",7.5075287352314
"ENSG00000036530.9",7.38802300753064
"ENSG00000036549.13",13.6988583869048
"ENSG00000036565.15",8.46203747354041
"ENSG00000036672.16",10.439502980991
"ENSG00000036828.17",9.74857466702445
"ENSG00000037042.9",20.3106327888417
"ENSG00000037241.7",28.6296000260277
"ENSG00000037280.16",12.2804629829144
"ENSG00000037474.15",40.4421169174331
"ENSG00000037637.11",11.5243179500283
"ENSG00000037749.12",10.6179367284163
"ENSG00000037757.14",12.2134882388496
"ENSG00000037897.17",34.5709688225658
"ENSG00000037965.6",13.0823050132822
"ENSG00000038002.9",37.0942442618048
"ENSG00000038210.14",28.1192774478661
"ENSG00000038219.13",13.323832766604
"ENSG00000038274.17",26.4812422477668
"ENSG00000038295.8",8.94828394325071
"ENSG00000038358.15",16.6342480103527
"ENSG00000038382.20",27.1400132211559
"ENSG00000038427.16",64.8089346284009
"ENSG00000038532.16",12.4225847048581
"ENSG00000038945.15",32.5808484700032
"ENSG00000039068.19",137.032480312655
"ENSG00000039123.16",21.5631819682975
"ENSG00000039139.9",14.4454430576777
"ENSG00000039319.17",10.979132175088
"ENSG00000039523.20",18.3293241403313
"ENSG00000039537.14",13.417336107239
"ENSG00000039560.14",70.7495344062226
"ENSG00000039600.11",8.4222037614065
"ENSG00000039650.12",18.883805832723
"ENSG00000039987.7",9.07829723936049
"ENSG00000040199.18",8.44356807962675
"ENSG00000040275.17",12.1516611282011
"ENSG00000040341.18",17.4551936703014
"ENSG00000040487.13",16.768645355832
"ENSG00000040531.16",12.296256405977
"ENSG00000040608.14",22.0509055342626
"ENSG00000040633.13",22.1489986870993
"ENSG00000040731.10",7.94438682515527
"ENSG00000040933.16",14.1652086056274
"ENSG00000041353.10",30.2413276411058
"ENSG00000041357.16",30.553543505147
"ENSG00000041515.16",8.22565960522523
"ENSG00000041802.11",40.3303632992531
"ENSG00000041880.14",20.1934979814712
"ENSG00000041982.16",214.855241439513
"ENSG00000041988.15",11.1513156114666
"ENSG00000042062.13",9.99846607385609
"ENSG00000042088.14",12.227978653424
"ENSG00000042286.15",18.7532224868571
"ENSG00000042304.12",6.96165014524968
"ENSG00000042317.17",8.45336663042754
"ENSG00000042429.12",7.64470464028774
"ENSG00000042445.14",31.263817529179
"ENSG00000042493.16",162.894937725923
"ENSG00000042753.12",69.812093445181
"ENSG00000042781.14",7.00771611259217
"ENSG00000042813.8",7.00510313364764
"ENSG00000042832.12",8.94465883729225
"ENSG00000042980.13",20.2141559561632
"ENSG00000043039.7",33.9125062356514
"ENSG00000043093.15",42.5266150365355
"ENSG00000043143.20",24.8446874027472
"ENSG00000043355.12",17.2836356632547
"ENSG00000043462.13",18.7579306323017
"ENSG00000043514.17",17.2734687736638
"ENSG00000043591.6",16.7769549111738
"ENSG00000044012.4",13.1252767256115
"ENSG00000044090.10",23.6958370680359
"ENSG00000044115.21",71.918254520484
"ENSG00000044446.12",12.2376595771625
"ENSG00000044459.15",9.37883861724101
"ENSG00000044524.11",13.9964504793524
"ENSG00000044574.8",343.583862416784
"ENSG00000046604.13",127.500928691257
"ENSG00000046647.13",15.4773898148987
"ENSG00000046651.15",19.9545382560474
"ENSG00000046653.15",14.3449367128883
"ENSG00000046774.10",42.6406917593027
"ENSG00000046889.19",9.82477300896617
"ENSG00000047056.16",12.7679421583181
"ENSG00000047188.16",11.1980045356926
"ENSG00000047230.15",17.9448012849699
"ENSG00000047249.18",20.9477973558286
"ENSG00000047315.17",38.3621167098924
"ENSG00000047346.12",14.6620711448537
"ENSG00000047365.12",13.495699925632
"ENSG00000047410.14",25.6720468554171
"ENSG00000047457.14",165.294176219207
"ENSG00000047578.13",15.4275352493709
"ENSG00000047579.20",14.7094935751404
"ENSG00000047597.7",11.3745660977284
"ENSG00000047617.15",7.65805735658787
"ENSG00000047621.12",12.4573223039348
"ENSG00000047634.15",12.2820300740867
"ENSG00000047644.19",24.4058594054353
"ENSG00000047648.23",8.61711103654615
"ENSG00000047662.5",7.53655227550462
"ENSG00000047849.21",28.7747288676628
"ENSG00000047932.14",17.9884759604369
"ENSG00000047936.11",45.804580854868
"ENSG00000048028.11",19.5994004544171
"ENSG00000048052.22",16.4302722780005
"ENSG00000048140.18",24.2149883161532
"ENSG00000048162.21",15.0864089794593
"ENSG00000048342.17",10.20667677718
"ENSG00000048392.12",23.860563678438
"ENSG00000048405.10",14.2046310237642
"ENSG00000048462.11",18.338036875635
"ENSG00000048471.14",13.1698938783935
"ENSG00000048540.15",37.8659290525931
"ENSG00000048544.6",45.6469031046093
"ENSG00000048545.16",7.09466031433494
"ENSG00000048649.13",13.9289946792796
"ENSG00000048707.15",14.0928248464888
"ENSG00000048740.18",20.5927801322029
"ENSG00000048828.17",46.0626503714451
"ENSG00000048991.16",15.1592883277787
"ENSG00000049089.15",52.2715452217393
"ENSG00000049130.16",42.1533529465129
"ENSG00000049167.15",8.13727853281842
"ENSG00000049192.15",7.76203353653592
"ENSG00000049239.13",32.3582585936545
"ENSG00000049245.13",53.6858309596739
"ENSG00000049246.14",14.9814820372249
"ENSG00000049247.14",8.57180616571365
"ENSG00000049249.9",12.5932547633206
"ENSG00000049283.18",17.8325840432124
"ENSG00000049323.16",58.3210456614183
"ENSG00000049449.10",26.4544689436486
"ENSG00000049540.18",61.2042385086422
"ENSG00000049541.11",34.8208187001188
"ENSG00000049618.24",10.8487813820573
"ENSG00000049656.14",87.4404280249482
"ENSG00000049759.19",14.714247424735
"ENSG00000049768.16",11.4533409283302
"ENSG00000049769.14",9.02377999567438
"ENSG00000049860.14",42.0428514931841
"ENSG00000049883.15",8.18381984039308
"ENSG00000050030.16",8.2386606009893
"ENSG00000050130.18",16.9979803046667
"ENSG00000050165.18",29.663558863202
"ENSG00000050327.15",16.8853774415934
"ENSG00000050344.9",28.9615016243042
"ENSG00000050393.11",26.5709743254237
"ENSG00000050405.13",52.1046970244996
"ENSG00000050426.16",18.0849052174088
"ENSG00000050438.17",9.04939754114312
"ENSG00000050555.19",14.9221606132763
"ENSG00000050628.20",9.89813277131002
"ENSG00000050730.16",16.1014164548186
"ENSG00000050748.18",16.1782807077501
"ENSG00000050767.17",13.3592422968395
"ENSG00000050820.17",25.6705478594241
"ENSG00000051009.11",18.0233924111039
"ENSG00000051108.15",46.8658848147614
"ENSG00000051128.19",16.1961851011155
"ENSG00000051180.17",14.8953890562518
"ENSG00000051341.14",10.7759360666448
"ENSG00000051382.9",20.7849544694095
"ENSG00000051523.11",84.0360007866101
"ENSG00000051596.10",17.2591040083892
"ENSG00000051620.11",16.9367688055542
"ENSG00000051825.15",10.763174992602
"ENSG00000052126.14",15.9677577643044
"ENSG00000052344.16",100.833148937475
"ENSG00000052723.12",17.1142146215677
"ENSG00000052749.14",17.2056058560945
"ENSG00000052795.13",21.6881968267238
"ENSG00000052802.13",69.72826456332
